target_removed_percent,snr_threshold,name,total,pruned,pruned_percent
50,0.12578976154327393,layer0.weight,940800,465573,49.48692602040816
50,0.12578976154327393,layer1.weight,1440000,727718,50.53597222222222
50,0.12578976154327393,layer2.weight,12000,3109,25.908333333333335
75,0.22058992087841034,layer0.weight,940800,699855,74.38934948979592
75,0.22058992087841034,layer1.weight,1440000,1090129,75.70340277777778
75,0.22058992087841034,layer2.weight,12000,4616,38.46666666666667
95,2.2653086185455322,layer0.weight,940800,892870,94.90539965986395
95,2.2653086185455322,layer1.weight,1440000,1374371,95.44243055555556
95,2.2653086185455322,layer2.weight,12000,5919,49.325
98,4.895492076873779,layer0.weight,940800,920548,97.84736394557824
98,4.895492076873779,layer1.weight,1440000,1417955,98.46909722222222
98,4.895492076873779,layer2.weight,12000,6441,53.675
