target_removed_percent,snr_threshold,name,total,pruned,pruned_percent
50,0.1245923638343811,layer0.weight,940800,466024,49.53486394557823
50,0.1245923638343811,layer1.weight,1440000,727250,50.50347222222222
50,0.1245923638343811,layer2.weight,12000,3126,26.05
75,0.21796287596225739,layer0.weight,940800,700690,74.4781037414966
75,0.21796287596225739,layer1.weight,1440000,1089252,75.6425
75,0.21796287596225739,layer2.weight,12000,4658,38.81666666666667
95,0.5740445256233215,layer0.weight,940800,892253,94.83981717687075
95,0.5740445256233215,layer1.weight,1440000,1374971,95.48409722222222
95,0.5740445256233215,layer2.weight,12000,5936,49.46666666666667
98,4.967661380767822,layer0.weight,940800,920666,97.85990646258503
98,4.967661380767822,layer1.weight,1440000,1417808,98.4588888888889
98,4.967661380767822,layer2.weight,12000,6470,53.916666666666664
